Name,ACR-139-TP1,ACR-139-TP2,ACR-139-TP3,ACR-139-TP4,ACR-145-TP1,ACR-145-TP2,ACR-145-TP3,ACR-145-TP4,ACR-150-TP1,ACR-150-TP2,ACR-150-TP3,ACR-150-TP4,ACR-173-TP1,ACR-173-TP2,ACR-173-TP3,ACR-173-TP4,ACR-186-TP1,ACR-186-TP2,ACR-186-TP3,ACR-186-TP4,ACR-225-TP1,ACR-225-TP2,ACR-225-TP3,ACR-225-TP4,ACR-229-TP1,ACR-229-TP2,ACR-229-TP3,ACR-229-TP4,ACR-237-TP1,ACR-237-TP2,ACR-237-TP3,ACR-237-TP4,ACR-244-TP1,ACR-244-TP2,ACR-244-TP3,ACR-244-TP4,ACR-265-TP1,ACR-265-TP2,ACR-265-TP3,ACR-265-TP4
Cluster_1819,50,68,2,10,44,62,23,37,22,177,56,14,102,88,36,18,24,84,33,28,18,47,19,66,204,195,50,66,19,81,35,41,57,340,95,77,16,96,19,25
Cluster_1832,1115,1769,45,211,232,1032,214,325,144,1326,757,219,1826,1527,547,235,211,1238,439,873,610,1714,580,2897,3544,2836,805,1098,288,645,435,978,788,2174,2749,947,171,618,265,223
Cluster_1833,24,18,0,13,0,27,7,16,4,0,12,6,40,24,30,3,0,6,11,42,20,38,27,82,145,30,11,12,19,57,52,94,53,0,0,30,0,0,21,6
Cluster_1836,2926,5844,747,1073,1266,8817,1026,1071,1267,5111,3174,1614,2334,4717,1577,885,1729,8001,1636,1625,1059,6727,2024,14727,5523,8094,2155,4571,1425,4832,2048,10196,2033,11364,4302,6240,656,2737,1210,1993
Cluster_1865,380,204,16,74,139,324,53,103,94,669,454,86,203,174,137,56,7,108,38,87,157,602,119,652,753,536,217,253,130,345,299,337,344,1203,1140,491,34,503,178,114
Cluster_1950,450,657,18,51,290,255,101,121,127,646,280,201,413,247,249,79,63,224,147,421,384,666,297,1100,1345,1043,360,460,223,206,179,269,370,689,707,421,67,400,102,130
Cluster_1951,319,890,61,0,100,866,133,168,0,790,0,401,186,510,183,136,150,464,0,174,421,347,1085,113,617,288,379,0,324,304,278,413,893,172,375,389,101,275,0,396
Cluster_2372,1784,3801,151,287,617,4379,356,414,344,2927,3537,621,1435,2135,541,200,279,2368,694,915,805,2125,721,3790,5320,6298,1514,2188,1019,3532,2419,2851,684,5898,2171,1321,236,2065,501,344
Cluster_2500,7,11,0,2,37,196,14,36,17,224,65,35,38,96,42,7,0,33,3,8,3,20,3,10,24,47,6,18,40,84,98,54,52,246,77,65,10,38,12,7
Cluster_2746,505,601,30,121,236,478,110,182,125,1070,652,250,895,701,388,171,101,407,125,173,200,868,247,1040,519,797,442,299,341,502,257,420,256,639,658,413,85,716,253,148
Cluster_3109,11,12,0,1,11,15,4,6,9,23,13,7,16,10,13,3,5,11,4,10,9,23,1,22,48,29,12,17,8,18,9,9,12,123,20,14,6,10,1,5
Cluster_3226,306,347,58,77,499,952,264,299,239,1050,897,393,539,378,343,115,100,491,116,177,365,1007,905,1584,71,182,40,50,301,693,520,609,427,1372,738,583,126,664,325,220
Cluster_3227,596,1125,130,157,8,1099,2,0,391,6,1076,948,807,615,521,219,60,302,168,208,429,732,762,1492,1394,1154,432,654,504,491,477,1008,776,1075,983,849,0,1,0,0
Cluster_3301,435,495,8,47,494,1436,160,215,163,2334,990,177,367,512,208,82,77,472,199,361,173,537,127,623,1646,1601,251,375,300,1069,574,694,162,1266,505,198,151,1541,201,173
Cluster_4026,6,10,0,2,2,3,2,3,7,10,3,3,5,3,3,2,1,0,2,1,0,2,0,4,9,15,5,4,4,8,1,12,8,7,11,1,1,7,2,0
