,feature1,feature2,correlation,p_value
0,FUN_018797,lncRNA_6691,-0.0214773187586582,0.8953463836886385
1,FUN_018797,lncRNA_48354,-0.1757973141696829,0.2778945939146266
2,FUN_018797,lncRNA_37417,0.3830780893090134,0.014693290211261277
3,FUN_018797,lncRNA_22766,-0.11600308086853785,0.4759600481806764
4,FUN_018797,lncRNA_9027,0.14765124223352644,0.3632371511855176
5,FUN_018797,lncRNA_23617,0.06565083884966075,0.6873302979943025
6,FUN_018797,lncRNA_3993,-0.12917947855740897,0.426943647638818
7,FUN_018797,lncRNA_25368,-0.1254325965661045,0.4405866323746468
8,FUN_018797,lncRNA_25353,-0.10227236980521709,0.5300259542306494
9,FUN_018797,lncRNA_14028,0.007640105398120549,0.9626816652969485
10,FUN_018797,lncRNA_43015,0.4004060453540753,0.010461234024394977
11,FUN_018797,lncRNA_20065,-0.02478500473077146,0.8793394373952862
12,FUN_018797,lncRNA_25226,-0.1138171676381669,0.484368119142773
13,FUN_018797,lncRNA_29522,-0.006526856895546115,0.9681163462547442
14,FUN_018797,lncRNA_48271,-0.09326596126568519,0.5670434698840682
15,FUN_018797,lncRNA_397,-0.0303189213881674,0.8526676755839142
16,FUN_018797,lncRNA_52590,-0.04921628477435841,0.7629695775595301
17,FUN_018797,lncRNA_34860,-0.04114901986095026,0.8009610973719811
18,FUN_018797,lncRNA_13372,0.012354774738961473,0.9396868234613796
19,FUN_018797,lncRNA_1277,-0.07966089979168528,0.6251097531104357
20,FUN_018797,lncRNA_27209,-0.10808600533879152,0.5067746705186137
21,FUN_018797,lncRNA_3606,-0.11334177595761187,0.4862068783907567
22,FUN_018797,lncRNA_8546,0.016694997927658096,0.9185604254386684
23,FUN_018797,lncRNA_6776,-0.08543332844891179,0.6001714324869953
24,FUN_018797,lncRNA_10470,-0.12911967294663573,0.4271595352394897
25,FUN_018797,lncRNA_230,0.030680691651178583,0.8509293447419011
26,FUN_018797,lncRNA_7700,-0.1491011179783532,0.3584916617653062
27,FUN_018797,lncRNA_42829,0.14315062538931755,0.3782064856009154
28,FUN_018797,lncRNA_13771,-0.21860192064724002,0.17536172370507191
29,FUN_018797,lncRNA_17994,-0.12585859333607563,0.4390235334880099
30,FUN_018797,lncRNA_36686,-0.1235505296195133,0.4475289843882512
31,FUN_018797,lncRNA_52137,-0.2828930849990569,0.0769326278569859
32,FUN_018797,lncRNA_37299,-0.26404886342657435,0.09968078395404298
33,FUN_018797,lncRNA_36732,-0.13110284481949155,0.4200332587246096
34,FUN_018797,lncRNA_49152,-0.12842803123089794,0.42966067053855134
35,FUN_018797,lncRNA_25901,-0.11671056774057811,0.47325526494222503
36,FUN_018797,lncRNA_6972,-0.14848240393404258,0.360512135729891
37,FUN_018797,lncRNA_13752,-0.051839813182448596,0.7507269986557668
38,FUN_018797,lncRNA_7486,-0.009060112551015777,0.9557518902755261
39,FUN_018797,lncRNA_3332,-0.0691011137791782,0.6717973278398428
40,FUN_018797,lncRNA_38731,0.181413948305372,0.26258308928574803
41,FUN_018797,lncRNA_43357,-0.07741540194619358,0.6349253496894829
42,FUN_018797,lncRNA_30345,0.20833499912770306,0.1970319525426274
43,FUN_018797,lncRNA_19589,-0.12934813326507344,0.4263351630862763
44,FUN_018797,lncRNA_19899,0.42734141071524556,0.005953527978249377
45,FUN_018797,lncRNA_18370,-0.06316574768845733,0.6985975208025857
46,FUN_018797,lncRNA_8599,-0.17696336623932543,0.27466882432448175
47,FUN_018797,lncRNA_35740,-0.10481171374071038,0.5198063890727165
48,FUN_018797,lncRNA_42994,-0.13742856889382618,0.3977558399823965
49,FUN_018797,lncRNA_23818,-0.10898360700024237,0.5032312281536581
50,FUN_018797,lncRNA_51221,0.13449936209579702,0.4079854330292441
51,FUN_018797,lncRNA_3431,-0.05366390898571817,0.7422501060897639
52,FUN_018797,lncRNA_18396,0.04037468838221632,0.8046330922118907
53,FUN_018797,lncRNA_2968,0.1029434573626276,0.5273156745040702
54,FUN_018797,lncRNA_19949,-0.012095082767947043,0.9409523320399696
55,FUN_018797,lncRNA_8833,-0.10651513782818352,0.5130060990495289
56,FUN_018797,lncRNA_6995,-0.14625271016054794,0.3678501566445452
57,FUN_018797,lncRNA_21641,-0.0029744487410976587,0.9854668945692197
58,FUN_018797,lncRNA_2884,-0.06114557696912487,0.7078041673760199
59,FUN_018797,lncRNA_7220,0.0071821395980563646,0.9649171851156954
60,FUN_018797,lncRNA_2924,0.07506221741257012,0.6452781674652114
61,FUN_018797,lncRNA_39145,-0.20243594343873944,0.21030141795823043
62,FUN_018797,lncRNA_38266,-0.15612312784142787,0.33604209658660494
63,FUN_018797,lncRNA_37631,0.017421816092495195,0.9150275742920868
64,FUN_018797,lncRNA_22636,0.038059920343074,0.8156344658140516
65,FUN_018797,lncRNA_19909,-0.05931530569768988,0.7161809664774735
66,FUN_018797,lncRNA_28508,-0.00741979082972919,0.9637570773972584
67,FUN_018797,lncRNA_32791,0.009454125495315822,0.9538296155703991
68,FUN_018797,lncRNA_18122,-0.09397769959213753,0.5640754005119053
69,FUN_018797,lncRNA_7601,-0.08536056304436553,0.6004830933719031
70,FUN_018797,lncRNA_18348,0.022074162866027106,0.8924548519648329
71,FUN_018797,lncRNA_54343,-0.13392626888887899,0.4100042773180812
72,FUN_018797,lncRNA_22448,-0.0680876245310266,0.6763464217232343
73,FUN_018797,lncRNA_35317,-0.020197330620338263,0.9015519999845372
74,FUN_018797,lncRNA_50879,-0.19585262569044837,0.22582867220651043
75,FUN_018797,lncRNA_53591,-0.07316221262263234,0.6536857656058273
76,FUN_018797,lncRNA_54190,-0.1609490753616071,0.321129037614893
77,FUN_018797,lncRNA_20253,-0.031922096636902736,0.8449696428794332
78,FUN_018797,lncRNA_17170,-0.126994614739997,0.4348701455775294
79,FUN_018797,lncRNA_2985,-0.11665752536590751,0.47345776860962885
80,FUN_018797,lncRNA_42856,-0.0588738010635255,0.7182066101479101
81,FUN_018797,lncRNA_18555,-0.09649559775700002,0.5536334000525478
82,FUN_018797,lncRNA_2720,-0.04868234028256053,0.7654682994727517
83,FUN_018797,lncRNA_13326,-0.1171265481867634,0.471668733744416
84,FUN_018797,lncRNA_29834,-0.16906468377477457,0.2970022829473431
85,FUN_018797,lncRNA_27058,-0.08047740654929345,0.6215562571005336
86,FUN_018797,lncRNA_38569,0.0804391730661346,0.6217224638912232
87,FUN_018797,lncRNA_4541,-0.06177999347161338,0.7049084104944785
88,FUN_018797,lncRNA_54048,-0.20524239031325545,0.20391317608154522
89,FUN_018797,lncRNA_35701,0.029204241892573295,0.8580280726323447
90,FUN_018797,lncRNA_25976,-0.21967613061308147,0.1731972622034562
91,FUN_018797,lncRNA_7210,0.31065633110160135,0.05105277110393752
92,FUN_018797,lncRNA_29869,0.04614420905293862,0.7773777563943978
93,FUN_018797,lncRNA_42503,-0.06816413082291273,0.6760026211987293
94,FUN_018797,lncRNA_51567,-0.007550831312292174,0.963117427334813
95,FUN_018797,lncRNA_28581,-0.10557675711000448,0.5167467251719351
96,FUN_018797,lncRNA_8779,-0.037304896587404865,0.8192305270439099
97,FUN_018797,lncRNA_28107,0.32663031932778935,0.03967788283086253
98,FUN_018797,lncRNA_53515,-0.1468480622522086,0.3658821463154274
99,FUN_018797,lncRNA_2971,0.010860704650876135,0.9469695020108785
100,FUN_013649,lncRNA_6691,-0.08144076002999448,0.6173745459621472
101,FUN_013649,lncRNA_48354,0.17372025163073176,0.28370167346943054
102,FUN_013649,lncRNA_37417,0.0461816214921599,0.7772018367032465
103,FUN_013649,lncRNA_22766,0.078623384360886,0.6296371807602014
104,FUN_013649,lncRNA_9027,-0.23712378910067103,0.14068322505349468
105,FUN_013649,lncRNA_23617,-0.3111001912766658,0.05070469744864163
106,FUN_013649,lncRNA_3993,0.18938749564813998,0.24182433295157663
107,FUN_013649,lncRNA_25368,-0.4045238229679421,0.009625036928388436
108,FUN_013649,lncRNA_25353,0.01681292438327742,0.9179871126381239
109,FUN_013649,lncRNA_14028,-0.37218289926409487,0.018034381739311173
110,FUN_013649,lncRNA_43015,0.38394022577041304,0.014452903871232959
111,FUN_013649,lncRNA_20065,0.10905860474268798,0.5029357310173657
112,FUN_013649,lncRNA_25226,0.16332124950049542,0.3139532072126254
113,FUN_013649,lncRNA_29522,0.1659879399729184,0.3060083602953672
114,FUN_013649,lncRNA_48271,0.11336847642616757,0.4861035081704863
115,FUN_013649,lncRNA_397,0.1804894342731929,0.26506415512327336
116,FUN_013649,lncRNA_52590,-0.2592087415219675,0.10628118004842284
117,FUN_013649,lncRNA_34860,0.043123539022983916,0.7916168944015297
118,FUN_013649,lncRNA_13372,-0.07139528103011321,0.661542584069829
119,FUN_013649,lncRNA_1277,-0.26757584623598124,0.09507220118769133
120,FUN_013649,lncRNA_27209,0.06394987617551069,0.6950353135240577
121,FUN_013649,lncRNA_3606,-0.21823814499013747,0.176099078979488
122,FUN_013649,lncRNA_8546,-0.16195218665258737,0.31808217353876467
123,FUN_013649,lncRNA_6776,0.03565701663468363,0.8270917154437553
124,FUN_013649,lncRNA_10470,0.11445770899356879,0.48189631473968686
125,FUN_013649,lncRNA_230,-0.3200460786611275,0.04408687670461375
126,FUN_013649,lncRNA_7700,-0.1447511186089817,0.37284188391584094
127,FUN_013649,lncRNA_42829,0.5541220526778189,0.00020751446809569955
128,FUN_013649,lncRNA_13771,0.29947535213367016,0.06047270159987882
129,FUN_013649,lncRNA_17994,0.10813765437904291,0.5065704359977866
130,FUN_013649,lncRNA_36686,0.18468274879585309,0.2539345260286679
131,FUN_013649,lncRNA_52137,0.19799743137512565,0.2206861188165515
132,FUN_013649,lncRNA_37299,0.3119793686763065,0.0500208822881732
133,FUN_013649,lncRNA_36732,0.09565774337657533,0.5570979653182098
134,FUN_013649,lncRNA_49152,0.019116617263393924,0.9067960109894956
135,FUN_013649,lncRNA_25901,0.18665032304401455,0.24882154855544963
136,FUN_013649,lncRNA_6972,0.40286678259339276,0.00995438829860446
137,FUN_013649,lncRNA_13752,-0.386424833116222,0.013778665141933539
138,FUN_013649,lncRNA_7486,-0.17280590191699674,0.2862828435911665
139,FUN_013649,lncRNA_3332,0.3577394495067991,0.023427973575871334
140,FUN_013649,lncRNA_38731,-0.003388644964701445,0.9834434007462658
141,FUN_013649,lncRNA_43357,-0.07493712581192222,0.6458303810206487
142,FUN_013649,lncRNA_30345,0.12814580668868839,0.43068360034836306
143,FUN_013649,lncRNA_19589,-0.16267905766174934,0.3158857648611684
144,FUN_013649,lncRNA_19899,0.1681240430498831,0.2997374275655331
145,FUN_013649,lncRNA_18370,0.01016103081836818,0.9503814830784968
146,FUN_013649,lncRNA_8599,0.15494075933050042,0.3397600245469026
147,FUN_013649,lncRNA_35740,0.16908698652193835,0.29693762727036105
148,FUN_013649,lncRNA_42994,-0.05806915699470431,0.721903239938778
149,FUN_013649,lncRNA_23818,-0.040034034650664706,0.8062498390959083
150,FUN_013649,lncRNA_51221,-0.09150438415382003,0.5744202701468785
151,FUN_013649,lncRNA_3431,0.09536933854067416,0.55829287268734
152,FUN_013649,lncRNA_18396,0.3859108244435776,0.013915919058130206
153,FUN_013649,lncRNA_2968,0.08836681562806654,0.5876660302604217
154,FUN_013649,lncRNA_19949,0.13216579614587184,0.4162414557568872
155,FUN_013649,lncRNA_8833,0.3224469889900287,0.042435334375630955
156,FUN_013649,lncRNA_6995,-0.01555441741284096,0.9241075419218381
157,FUN_013649,lncRNA_21641,-0.0060731099076980965,0.9703318798337615
158,FUN_013649,lncRNA_2884,-0.2562866690963777,0.11042390316844596
159,FUN_013649,lncRNA_7220,0.3334403899130739,0.035502417686959394
160,FUN_013649,lncRNA_2924,-0.042443354718324104,0.7948326218355691
161,FUN_013649,lncRNA_39145,0.011688660112471935,0.9429331620928794
162,FUN_013649,lncRNA_38266,0.11901802793343075,0.4644903418523895
163,FUN_013649,lncRNA_37631,0.12251688150185028,0.4513670274234447
164,FUN_013649,lncRNA_22636,0.06461297251043208,0.6920279732699239
165,FUN_013649,lncRNA_19909,-0.4186374758539124,0.0071781823827179545
166,FUN_013649,lncRNA_28508,-0.26238145004006114,0.10191819332320078
167,FUN_013649,lncRNA_32791,-0.2654323839470037,0.097853022949837
168,FUN_013649,lncRNA_18122,-0.029908524661999197,0.8546404914027458
169,FUN_013649,lncRNA_7601,-0.09437412976112346,0.5624253399590096
170,FUN_013649,lncRNA_18348,0.26658819101874304,0.09634589000699464
171,FUN_013649,lncRNA_54343,0.5151713696397128,0.0006698273562731413
172,FUN_013649,lncRNA_22448,-0.07756084833706528,0.6342876764862534
173,FUN_013649,lncRNA_35317,-0.023842177827084036,0.88389753707376
174,FUN_013649,lncRNA_50879,-0.25714174020023256,0.10919917315293468
175,FUN_013649,lncRNA_53591,-0.3805436014433354,0.015419644232524357
176,FUN_013649,lncRNA_54190,0.010559979342909824,0.9484358873949864
177,FUN_013649,lncRNA_20253,0.10458494723795267,0.5207150242079558
178,FUN_013649,lncRNA_17170,0.10247222394719215,0.5292181059333161
179,FUN_013649,lncRNA_2985,0.23284599917693657,0.14820251287846875
180,FUN_013649,lncRNA_42856,0.4385903572205999,0.004641354037475409
181,FUN_013649,lncRNA_18555,0.49014710663862754,0.0013249143344688243
182,FUN_013649,lncRNA_2720,-0.2606075046299495,0.10434046219374032
183,FUN_013649,lncRNA_13326,0.22288238697628862,0.1668509775925507
184,FUN_013649,lncRNA_29834,0.16239396626499703,0.3167460923445843
185,FUN_013649,lncRNA_27058,-0.03892624237323358,0.8115128997769601
186,FUN_013649,lncRNA_38569,0.45932639911607515,0.002868471322179133
187,FUN_013649,lncRNA_4541,0.04044020159620908,0.8043222573853313
188,FUN_013649,lncRNA_54048,-0.17359942632207903,0.28404188793893886
189,FUN_013649,lncRNA_35701,0.5676367606704646,0.00013347407390756766
190,FUN_013649,lncRNA_25976,0.02746875650878073,0.8663863072934834
191,FUN_013649,lncRNA_7210,0.00668974242996643,0.9673210735030412
192,FUN_013649,lncRNA_29869,-0.10171724357823596,0.5322730300925419
193,FUN_013649,lncRNA_42503,0.6341244854895085,1.1164718876461814e-05
194,FUN_013649,lncRNA_51567,-0.34585073421662255,0.028819682950733165
195,FUN_013649,lncRNA_28581,0.1733861963018532,0.28464293790440787
196,FUN_013649,lncRNA_8779,-0.4859525840379369,0.0014780284537125182
197,FUN_013649,lncRNA_28107,0.15030283410715828,0.3545869163516523
198,FUN_013649,lncRNA_53515,0.450459590346618,0.0035366322813356493
199,FUN_013649,lncRNA_2971,0.42231633956620085,0.006636375132381678
200,FUN_023201,lncRNA_6691,0.12126950506150949,0.4560223678603694
201,FUN_023201,lncRNA_48354,0.24530226025992458,0.1270972920161787
202,FUN_023201,lncRNA_37417,0.16086827305141538,0.3213752613673884
203,FUN_023201,lncRNA_22766,0.11957419437856233,0.4623907831201115
204,FUN_023201,lncRNA_9027,-0.06938112830192371,0.6705424928219188
205,FUN_023201,lncRNA_23617,-0.018279626689886343,0.9108600843967944
206,FUN_023201,lncRNA_3993,0.14042577922527416,0.3874440197055241
207,FUN_023201,lncRNA_25368,0.1704189004145495,0.29309278975699304
208,FUN_023201,lncRNA_25353,0.20723684664837563,0.19945645936677414
209,FUN_023201,lncRNA_14028,0.00025029238872086707,0.9987770112315552
210,FUN_023201,lncRNA_43015,0.018145840941278933,0.9115099018516746
211,FUN_023201,lncRNA_20065,0.3887900021136877,0.013161791411889218
212,FUN_023201,lncRNA_25226,-0.2210826470378705,0.17039229383337967
213,FUN_023201,lncRNA_29522,0.4034916501076802,0.009829076457240923
214,FUN_023201,lncRNA_48271,0.029915028151332488,0.8546092216793947
215,FUN_023201,lncRNA_397,0.34434010523365627,0.029572863438882244
216,FUN_023201,lncRNA_52590,0.23836567158958338,0.1385539881615139
217,FUN_023201,lncRNA_34860,0.3631078214199813,0.021284570395448253
218,FUN_023201,lncRNA_13372,0.03076024474229562,0.8505471796584196
219,FUN_023201,lncRNA_1277,0.08436627776378601,0.6047487232419048
220,FUN_023201,lncRNA_27209,-0.06094744314963502,0.7087093716776688
221,FUN_023201,lncRNA_3606,-0.1900674314900879,0.24010698650444426
222,FUN_023201,lncRNA_8546,-0.01463919792707864,0.9285612098574088
223,FUN_023201,lncRNA_6776,0.29575155924568874,0.06390014874125031
224,FUN_023201,lncRNA_10470,0.1102204270777855,0.4983693259996495
225,FUN_023201,lncRNA_230,-0.19176926277421644,0.23584482252861413
226,FUN_023201,lncRNA_7700,0.0737521849324172,0.6510705326975714
227,FUN_023201,lncRNA_42829,-0.06576393857888815,0.6868190724016329
228,FUN_023201,lncRNA_13771,-0.04098950719937263,0.8017171877012822
229,FUN_023201,lncRNA_17994,0.0802383791594671,0.62259564959032
230,FUN_023201,lncRNA_36686,-0.09990511905451757,0.5396403369750077
231,FUN_023201,lncRNA_52137,0.38197083402365434,0.015006975200841927
232,FUN_023201,lncRNA_37299,0.204989273514162,0.20448371264615267
233,FUN_023201,lncRNA_36732,0.08778279910666674,0.5901464397977696
234,FUN_023201,lncRNA_49152,0.1690571522460242,0.29702411889434865
235,FUN_023201,lncRNA_25901,0.19215007237940807,0.23489818069004736
