,lncrna,gene,correlation,p_value,regulation_type,strength
0,lncRNA_27894,FUN_039991,0.3413252215467007,0.031124645809122914,activation,0.3413252215467007
1,lncRNA_28501,FUN_039991,-0.32876869270587167,0.0383257888687747,repression,0.32876869270587167
2,lncRNA_42629,FUN_039991,-0.3143077315807886,0.04824569752994647,repression,0.3143077315807886
3,lncRNA_1057,FUN_039991,-0.3386529155672893,0.032555588366061684,repression,0.3386529155672893
4,lncRNA_53503,FUN_039991,0.7635525188262541,1.0028350882425204e-08,activation,0.7635525188262541
5,lncRNA_36338,FUN_039991,0.42457894028147564,0.006320981044986098,activation,0.42457894028147564
6,lncRNA_938,FUN_039991,0.381919384740172,0.015021687327664311,activation,0.381919384740172
7,lncRNA_7518,FUN_039991,0.32082209534978895,0.04354746923095414,activation,0.32082209534978895
8,lncRNA_44677,FUN_039991,0.4336734703859761,0.005180236839976016,activation,0.4336734703859761
9,lncRNA_4139,FUN_039991,0.42525192421546876,0.006229705068594223,activation,0.42525192421546876
10,lncRNA_47353,FUN_039991,-0.3624884161107475,0.021523189632303968,repression,0.3624884161107475
11,lncRNA_55690,FUN_039991,0.4570064613087513,0.00303162657413417,activation,0.4570064613087513
12,lncRNA_37327,FUN_039991,0.32381863297769065,0.041514578125350976,activation,0.32381863297769065
13,lncRNA_33449,FUN_039991,0.3447655786045541,0.029359102707100154,activation,0.3447655786045541
14,lncRNA_32233,FUN_039991,0.3851990318324221,0.014107897740591948,activation,0.3851990318324221
15,lncRNA_6416,FUN_039991,0.3776265581271046,0.016292947595342087,activation,0.3776265581271046
16,lncRNA_48595,FUN_016009,-0.3513117366909457,0.02622787973559852,repression,0.3513117366909457
17,lncRNA_14996,FUN_016009,0.5010744793768862,0.0009899126413640633,activation,0.5010744793768862
18,lncRNA_41390,FUN_016009,0.3514424861112046,0.026168278710582495,activation,0.3514424861112046
19,lncRNA_25486,FUN_016009,0.3345476989094388,0.03485880763545105,activation,0.3345476989094388
20,lncRNA_13300,FUN_016009,0.33605633582764904,0.03399734820720055,activation,0.33605633582764904
21,lncRNA_48126,FUN_016009,0.48412688617123023,0.0015494193842669397,activation,0.48412688617123023
22,lncRNA_14005,FUN_016009,-0.32457873897355183,0.041011367588382565,repression,0.32457873897355183
23,lncRNA_163,FUN_016009,0.4005448508820118,0.010432068731529996,activation,0.4005448508820118
24,lncRNA_37667,FUN_016009,0.3516570575039351,0.026070711615205234,activation,0.3516570575039351
25,lncRNA_41398,FUN_016009,-0.3159140208799836,0.04705090806121753,repression,0.3159140208799836
26,lncRNA_523,FUN_016009,0.3680382557399931,0.019462874359745835,activation,0.3680382557399931
27,lncRNA_6937,FUN_016009,0.33862577790656206,0.03257039247642143,activation,0.33862577790656206
